id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4501735088927218,J0J8wBsno,2798564303,中国烹饪杂志社,【5月新刊|一起来做菜品加减法】5月，天气渐热，各地餐饮业陆续重启。如何获得合理利润，需要餐饮企业做好开源节流。本期专题，“一起来做菜品加减法”。从停业到恢复堂食，近100天里，餐饮人如何在困境中自助与助人？且听特别策划“七位餐饮人的100天”。“做这行，我一直蛮开心的，退休以后还在做厨师的工作，做一些传承。”京帮菜宗师胡丽妹讲述她的餐饮人生。从“萝卜”到大白菜，蔓菁如何完成了从块茎蔬菜到叶用蔬菜的蜕变，诞生了今天我们熟悉的百菜之王——大白菜，@植物人史军为您一一解析。更多精彩，戳链接：O5月新刊|一起来做菜品加减法,,,植物人史军,,2,1,7,2020-05-06 23:59,微博 weibo.com,"['https://wx2.sinaimg.cn/large/a6ceb3cfly1gej67vgckoj20u012t7wj.jpg', 'https://wx1.sinaimg.cn/large/a6ceb3cfly1gej68a9zu1j20rs15o4qq.jpg', 'https://wx3.sinaimg.cn/large/a6ceb3cfly1gej68j7brcj20u00ygx6p.jpg', 'https://wx4.sinaimg.cn/large/a6ceb3cfly1gej681v75rj20u014ux6p.jpg', 'https://wx2.sinaimg.cn/large/a6ceb3cfly1gej67jmtzjj20u014wb29.jpg']",,
4501735081829231,J0J8w7FRJ,6542458452,jolpefvyy_,「建筑：无形资产占比较高的建筑、交运企业上文中提到基建REITs有助于上市公司减债促周转、带来收益多样化以及提高估值好处，而基建REITs项目的底层资产通常为“使用者付费”类项目，因此需要重点关注企业资产负债表中无形资产科目（注：长期应收账款通常对应政府付费项目）。建筑、交运板块中，无形资产/总资产比重较高的公司有四川路桥、中国电建、北新路桥、中国交建。」---------------,,,,,0,0,0,2020-05-06 23:59,iPhone客户端,,,
4501735060689624,J0J8u2ToY,3972884501,Aubrey不是aubrey,越来越舍不得离开家想到明天睁开眼就要去分行守项目又要离开家离开二狗离开麻麻又要熬夜赶报告还不晓得项目的硬伤能不能解决又要早中晚挤地铁又要一个人在酒店点外卖一个人吃饭一个人往返酒店和办公室就有种想哭的冲动糖耐检查还没做前一个月的小微企业已经累得喘不过气有时候真的想撂蹶子不干了现在只希望隐债项目能早点拿下来这个社会对女性而言太不容易对我这个大肚婆也不太友好老话真的要改过了不止是男怕入错行女的也怕————————记一个银行🐶的悲伤,,,,,0,0,0,2020-05-06 23:58,iPhone客户端,,,
4501010502706999,J0qhQbmdh,6448818913,清华UMT学位班金老师0511,🌲青松商学院在线直播课程——五四青年节特别奉献🌹由中国人民大学劳动人事学院许玉林教授带来《基于战略的绩效考核与绩效管理》，四万三千多名企业家同学在线学习，不一样的青年节，一样的追梦人❤️L清华UMT学位班金老师0511的微博视频,,北京,,,0,0,3,2020-05-04 23:59,iPhone客户端,,"http://f.video.weibocdn.com/VAdzXUvslx07D0VjajOU010412002aC80E010.mp4?label=mp4_720p&template=544x544.25.0&trans_finger=721584770189073627c6ee9d880087b3&ori=0&ps=1BVp4ysnknHVZu&Expires=1693021462&ssig=oHl%2Ft%2B%2Ftmx&KID=unistore,video",
4501010481664978,J0qhO6Z8u,6485153364,神话今天出现了没,#今日神话SHINHWA#【2020-0504】出现达成：1×2×3√4√5×6×申彗星的音乐奇幻之旅金烔完官方ins转发（外食的日子-为小微企业加油）→O网页链接vlivepost更新（杂志拍摄花絮）→O网页链接O网页链接O网页链接话剧列传官推更新（提问活动）→O网页链接ins更新（为韩国医护人员加油）→O网页链接#申彗星超话#●━━━━━━───────11：27⇆ㅤㅤㅤ◁ㅤㅤ❚❚ㅤㅤ▷官方ins更新（solo出道15周年特别活动-515vlive）→O网页链接,,,,"今日神话SHINHWA,申彗星超话",0,1,14,2020-05-04 23:59,神话SHINHWA超话,"['https://wx4.sinaimg.cn/large/0074T2DOgy1gegv0qs2uxj30j60sr40b.jpg', 'https://wx3.sinaimg.cn/large/0074T2DOgy1gegv0i9dt8j30j60cs3zi.jpg', 'https://wx2.sinaimg.cn/large/0074T2DOgy1gegv0kzwogj30j60sr76o.jpg', 'https://wx2.sinaimg.cn/large/0074T2DOgy1gegv0nspwqj30j60j6gm4.jpg', 'https://wx4.sinaimg.cn/large/0074T2DOgy1gegv0u3yj4j30j60j6wge.jpg']",,
4501010188245597,J0qhkyB3v,1679968327,拼客学院陈鑫杰,【陈鑫杰】勒索病毒与防毒指南-送给每个人的信息安全指导清单本期节目主要跟大家探讨三个问题：第一，就是带大家了解一下，到底什么是勒索病毒？从当前的网络攻防对抗趋势来看，未来这类勒索病毒会越来越高发，我们中招的几率正在持续变高。第二，为什么黑客或勒索病毒能这么猖狂，为什么连警方、网络安全公司、数据恢复公司等等，都束手无策？第三，当然也是这一期节目最重要，就是作为个人或企业，怎么做好这个信息安全防范，保障数字资产安全？@拼客学院#勒索病毒##科普##知识##网络安全##黑客##计算机##科学##编程##陈鑫杰##拼客学院##跟杰哥学网络安全#L拼客学院陈鑫杰的微博视频,,,拼客学院,"勒索病毒,科普,知识,网络安全,黑客,计算机,科学,编程,陈鑫杰,拼客学院,跟杰哥学网络安全",5,5,12,2020-05-04 23:58,微博视频号,,"http://f.video.weibocdn.com/000TcVUEgx07D0Vexccg01041208RDja0E040.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1693021462&ssig=blNVV47HKt&KID=unistore,video",
4501010116997414,J0qhdtmlw,5307902545,小小猴子小小小,#2020法考#1、刑诉：31——41（刑附民、侦查）2、刑法：客观真题3、民法：（1）运输合同是双务合同：因为运输双方当事人（托运人和承运人）之间存在对待给付义务。（2）若部分履行没有损害债权人的利益，则不构成违约，债权人不得拒绝。4、商法：萱姑DAY17【上市公司回避】（1）上市公司董事与董事会会议决议事项所涉及的企业有关联关系的，不得对该决议行使表决权，也不得代替其他董事行使表决权。（2）该董事会会议由无关联关系的董事过半数出席即可举行，该董事会会议所作的决议需要由无关联关系的董事过半数通过。（3）出席会议的无关联关系董事人数不足三人的，应当将该事项交由上市公司股东大会审议。,,,,2020法考,0,0,0,2020-05-04 23:58,微博 weibo.com,,,
4501010116240941,J0qhdqbyl,1444827810,一瓶糨糊,透过个案，我们更应该反思的是，企业和员工之间应该用什么方式、心态去处理矛盾和纠纷。O拒绝加班被判赔偿？“网红案”正是普法释法的好机会,,晋城,,,0,0,0,2020-05-04 23:58,红米Redmi,,,
4500648064470207,J0gRgiKU7,2749797257,冬天要吃冰糕呀,别问，问就是企业文化───加班,,,,,0,0,1,2020-05-03 23:59,,['https://wx1.sinaimg.cn/large/a3e69389ly1gefpe5pvilj216o1kwtx8.jpg'],,
4500648055439333,J0gRfmP1b,2067174415,国光诤影社,#视觉中国&500px#＊部落公告＊　本部落是“企业家摄影协会（深圳）手机摄影委员会”官方部落（由著名摄影家林添福领衔），接受包括大中画幅、胶片及数码单反、航拍器、移动设备创作的摄影作品投稿与参赛。每天发布一期部落O网页链接,,,,,0,0,0,2020-05-03 23:59,iPhone客户端,"['https://wx4.sinaimg.cn/large/7b36940fgy1gefpecy5nzj218g0tmq9d.jpg', 'https://wx2.sinaimg.cn/large/7b36940fgy1gefpee1cjuj224y24we82.jpg']",,
4500648026601237,J0gRcrHhz,7345211618,影视小贝贝,#复工复产原来是这么快乐的事情#全国企业复产复销状况逐渐变好，目前的销售收入已达去年可比水平的95%，难怪挖掘机都要一起跳舞！#跳舞的挖掘机#L湖南卫视的微博视频,,,,"复工复产原来是这么快乐的事情,跳舞的挖掘机",0,0,112,2020-05-03 23:59,iPhone客户端,,"http://f.video.weibocdn.com/000DN56Ygx07CZ4DBXSg01041200NnR10E010.mp4?label=mp4_hd&template=640x360.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1693021473&ssig=btiqRQRrsY&KID=unistore,video",
4500647913526451,J0gR1eNof,6307857644,沐凡测运,"一、以口为业，如231,713，开口就能赚钱。比如老师、销售、歌手等等职业类型。二、从事专业性工作的人，如913,786使用此类组合只要努力就会有钱赚，付出就会有收获，投了资却见不到收益的情况很少的。三、领导型工作。如413,768，该组合磁场能量显示情商很高。有贵人助益，适合企业高管，领导等等工作的人使用。#沐凡测运##数字能量学#",,,,"沐凡测运,数字能量学",0,0,0,2020-05-03 23:59,微博 weibo.com,['https://wx3.sinaimg.cn/large/006ST7Vqgy1ge9xvawrrqj30dw0afgmo.jpg'],,
4500647854014538,J0gQVgQmC,6011196144,这是特意给KUN的号,海关验放“接力赛”，让这家大型冶炼企业复工复产充满底气O海关验放“接力赛”，让这家大型冶炼企业复工复产充满底气,,,,,0,0,0,2020-05-03 23:58,学习强国客户端,['https://wx2.sinaimg.cn/large/006yOmIwgy1gefpdloydwj3046046q2s.jpg'],,
4500285651542099,J07qJ6taz,5181155309,小柯W,当我们组同学晚上八点在群里说突然想起来十二点之前要把企业并购作业发到老师邮箱的时候，默默放下手机，打开电脑。。。。最后一次，以后再也不为ppt烦恼，保持微笑。,,,,,0,3,0,2020-05-02 23:59,HUAWEI Mate 10,['https://wx1.sinaimg.cn/large/005EDBb7ly1geejdur7gqj315o15on8k.jpg'],,
4500285626283661,J07qGqmFn,1573677497,董江波,【今日好书】今日推荐：《激荡：十年二十人》作者：吴晓波类别：当代小说简介：《吴晓波频道•十年二十人》是中国首档顶尖企业家纪录式访谈节目，由知名财经作家吴晓波发起，邀请了包括联想创始人柳传志、格力电器股份有限公司董事长兼总裁董明珠、网易创始人丁磊等在内的中国具代表性的顶尖企业家，通过与他们的深度对话，纪录、挖掘中国当代企业家群像在2008年-2018年十年间的激变。如果说《激荡十年：水大鱼大》是2008-2018年企业史的记录，《十年二十人》则是吴晓波和过往十年里矛盾而吸睛的企业家的对话，让你看到企业家对商业世界的思考和观察。,,,,,0,0,2,2020-05-02 23:59,iPhone客户端,['https://wx3.sinaimg.cn/large/5dcc69b9ly1geejryf0coj209o0dw0te.jpg'],,
