id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4541223869619302,Jhiq6Emq2,2102245283,Asura-Lin,即将失业今天是在家休息的一天因为谢建的腰间盘突出自制了冰淇淋用正山小种煮了奶茶制作冰淇淋剩余的蛋白做了双皮奶在厨房转了一整日～捕捉了一抹晚霞～,,宁波·象山,,,0,1,3,2020-08-23 23:13,iPhone客户端,"['https://wx3.sinaimg.cn/large/7d4db7a3ly1gi154iz4lrj20u0140110.jpg', 'https://wx4.sinaimg.cn/large/7d4db7a3ly1gi15g7m0ujj20u0140ajx.jpg', 'https://wx4.sinaimg.cn/large/7d4db7a3ly1gi154k9mo8j20u011j7ab.jpg', 'https://wx1.sinaimg.cn/large/7d4db7a3ly1gi154lrilkj21400u0wln.jpg', 'https://wx1.sinaimg.cn/large/7d4db7a3ly1gi15g8s8ypj20u0140wm2.jpg', 'https://wx4.sinaimg.cn/large/7d4db7a3ly1gi15g49ql3j21400u0q9a.jpg']",,
4385771013911532,HzZilgpze,6239785072,周宝宝1027,#失業100天#无论是失业搬家跳槽失恋都是人生的新开始，所以大家都不要害怕开始。一条路走到头了就必须要马上立即开始拥抱新生活，不要耽误好风景～当然失业也是我们要直面惨淡的人生重要一环，只有勇敢面对现实，才能站起来，不害怕，积极进取，努力！可是我怎么觉得失业一时爽，一直失业无限爽@郭岱軒_小直人签书会顺利～#冒个泡##活出动静，这就是青年该有的样子##做自己喜欢就好#,,,郭岱軒_小直人,"失業100天,冒个泡,活出动静，这就是青年该有的样子,做自己喜欢就好",0,0,3,2019-06-21 23:59,iPhone客户端,"['https://wx2.sinaimg.cn/large/006Ohv8Igy1g497qy2x8nj30tg1ge1kx.jpg', 'https://wx1.sinaimg.cn/large/006Ohv8Igy1g497xss1mpj30u0140hdc.jpg']",,
4385770972182011,HzZih99DJ,6382841905,食瓜得瓜yo,失業/找不到自己想做的職業還有面試次次失敗哪種無力感壓力感徬徨焦慮感重重壓在我心口好辛苦好不安自信越來越低但其實好清楚自己為什麼這樣一沒有技能二自大高估自己三太多要求四面試時表現太差五蠢。。。真的心情很低落很不安哭又哭不出我真的不想這樣這種感覺一定要記得清清楚楚日後不想這樣必需努力不可以只是口裡說而沒有行動這樣擁有都是loser自己也會看不起自己！！！！,,,,,0,0,0,2019-06-21 23:59,iPhone客户端,,,
4385769084830162,HzZfekgxQ,6132354553,刘昌华,要保住工作，不要失业，很遗憾啊，保住很难呐--------是。不要负债，有点存款准备更好，挣不来就勤俭节约，失业自己决定了不了，自己的钱自己能管理好也行。,,武汉,,,0,0,0,2019-06-21 23:51,荣耀7X 全面屏手机,,,
4385768103105978,HzZdEd20q,3238900513,琇莹芃芃,♥️♥️❤️【六月水果老板1⃣️➕3⃣️3⃣️8⃣️元】你在看，我们在赚‼️扎堆进老板👏👏👏关于副业✍️不鼓励你辞职但鼓励你八小时内求生存，八小时外谋发展多份副业，多份收入。任何时候，找工作有底气，无工作不恐慌。面临失业毫不畏惧[奸笑]吃健康水果放心买！实现水果自由😎,,北京,,,0,0,1,2019-06-21 23:47,HUAWEI P20,"['https://wx4.sinaimg.cn/large/c10db321ly1g497m2pfd4j20u01qcqfc.jpg', 'https://wx4.sinaimg.cn/large/c10db321ly1g497m4cyfgj20u01qcgwe.jpg', 'https://wx4.sinaimg.cn/large/c10db321ly1g497m605v8j20u01qck1g.jpg', 'https://wx4.sinaimg.cn/large/c10db321ly1g497m7kjzyj20u01qctjn.jpg', 'https://wx3.sinaimg.cn/large/c10db321ly1g497m0t8vej20go0m878d.jpg', 'https://wx3.sinaimg.cn/large/c10db321ly1g497m937dhj20u01qcwo7.jpg', 'https://wx3.sinaimg.cn/large/c10db321ly1g497lzgfruj20go0m8n1u.jpg', 'https://wx2.sinaimg.cn/large/c10db321ly1g497lytbm1j20go0m8aec.jpg', 'https://wx3.sinaimg.cn/large/c10db321ly1g497m05rpjj20go0m8jvs.jpg']",,
4385768027686089,HzZdwwfvb,6132354553,刘昌华,七叔，你对郑州这个城市是什么印象，本省外市人能否抄底？有点小钱就等抄底了，能到5000不？谢谢-----------别失业，有存款，一切都不是问题。,,武汉·武汉天河国际机场,,,0,0,0,2019-06-21 23:47,荣耀7X 全面屏手机,,,
4385767650988537,HzZcV49a9,6979804106,电影观后感007,#林大为失业#父母在孩子心中永远是可依靠的大树，但是面对生活父母要承受的是来自四面八方的压力，少年派中的老爸林大为也为事业难题颓废不已，生活总是有晴天有雨天，希望父母和孩子都能坚强面对#父母最让人心疼的瞬间#L电视剧少年派的微博视频,,,,"林大为失业,父母最让人心疼的瞬间",0,0,1,2019-06-21 23:45,微博 weibo.com,,"http://f.us.sinaimg.cn/001tUx4Qlx07uKJLItXi01041200hh3C0E010.mp4?label=mp4_hd&template=852x480.28.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1693058395&ssig=livCoKtrgi&KID=unistore,video",
4385767113478913,HzZc3eB1v,6980387647,Sir-My说电影,#林大为失业#父母在孩子心中永远是可依靠的大树，但是面对生活父母要承受的是来自四面八方的压力，少年派中的老爸林大为也为事业难题颓废不已，生活总是有晴天有雨天，希望父母和孩子都能坚强面对#父母最让人心疼的瞬间#L电视剧少年派的微博视频,,,,"林大为失业,父母最让人心疼的瞬间",1,0,0,2019-06-21 23:43,微博 weibo.com,,"http://f.us.sinaimg.cn/001tUx4Qlx07uKJLItXi01041200hh3C0E010.mp4?label=mp4_hd&template=852x480.28.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1693058395&ssig=livCoKtrgi&KID=unistore,video",
4385767000810265,HzZbS3oMN,1769437622,关我啥事儿_搞钱搞对象,我终于把三体看完了啊啊啊啊啊啊啊！最精彩的就是每次变故都那么突然！章北海都做到了那地步，然后戛然而止。程心刚接过执剑人就失业，云天明一降落就整个星系进黑域，直接跳过几千万年，那什么有缘千里来相会啊爱情啊，完全不存在的！之前每次看都觉得背后凉飕飕的，现在倒是特别激动,,,,,0,1,0,2019-06-21 23:43,iPhone客户端,,,
4385408655383211,HzPRTmApZ,3880062872,华侨路街道石头城社区,石头城社区接待居民办理失业信息登记,,,,,0,0,0,2019-06-20 23:59,iPhone客户端,['https://wx2.sinaimg.cn/large/e7450f98gy1g482bwe5ztj21w02ionpd.jpg'],,
4385405623190431,HzPN0dnYz,3179676923,陌以渊,因为需要关注某寒才能评论，我就去关注了一下下，还收到了关注私信，我今天踏出校门的那一刻我就从毕业生变成失业人士了，暴躁老陌在线炸毛，啊对了，去某寒下面评论完的小可爱们，别忘了取关,,,,,2,15,87,2019-06-20 23:47,老陌的小米Android,['https://wx1.sinaimg.cn/large/bd8604fbly1g481z9zg52j20qy0vngnc.jpg'],,
4385405212279655,HzPMl9z2D,6417281591,柒璽yee,学校的事还没忙完然后就被催的开始找工作了在哪里找工作哇毕业即失业真对,,,,,0,0,3,2019-06-20 23:45,iPhone客户端,,,
4385405182666640,HzPMibbIk,2094898285,太原没有金牛座,"2019年6月20日，关注银行，证券，互金，猪肉，鸡肉等会不会破位，破位离场招商银行，中信证券，关注盘面：大概率会走2013年的走势原因，光伏，风电，核电，特高压，新基建，5g，猪肉，鸡肉，电力（戴维斯双击），玉米（农药）化工（山东和江苏大量的化工企业关闭）金融：证券，科创板参股的预期，大盘不跌的预期，都很好，银行放水银行，设立理财公司，永续债，降准降息放水的预期，保险：允许进入证券市场,提高股市份额沪伦通已经开启，人民币合格境外机构投资者（RQFII）试点地区扩大到荷兰，扩容【截至2019年4月末债转股签约金额已达2.3万亿元】财联社6月5日讯，记者获悉，在各方共同努力下，截至2019年4月末债转股签约金额已达2.3万亿元，投放到位9095亿元。已有106家企业、367个项目实施债转股。实施债转股的行业和区域覆盖面不断扩大，涉及钢铁、有色、煤炭、电力、交通运输等26个行业。2018年国家队投入5000亿，解决股权质押问题，现在成本大概在2500-2800点而且股权质押问题还没解决完预期很好，都能贯穿到明年甚至后年，所以只要跌下来，就会有人吸筹同时，2018年后的去产能，会导致很多周期行业，做大，做强这个预期也很好思考：牛市出现的两个条件，第一，上证指数，在2440附近震荡几年，用来消化套牢盘第二，上证指数来一波大涨，充分消化前期套牢盘，然后再出现一波慢牛结论：现在明显在朝着第二种方向走技术面，上证指数，深圳指数+创业板指，全部背离，调整级别很大和时间会有1-1.5个月左右这波调整结束后，不一定会有上涨，但是下跌幅度也不大了【业内人士预计科创板企业集体上市日或在7月中下旬】music在8月份还有一次扩容沪伦通已于6月17日正式开启消息面：6月20日讯，美国上周首次申领失业救济人数减少6000人至21.6万人，预估为22.0万人。财联社6月7日讯，美国5月非农就业人口变动7.5万人，预期18万人，前值26.3万人。非常不好财联社6月12日讯，美国5月CPI同比升1.8%，预期1.9%，前值2%财联社5月30日讯，美国一季度实际GDP增长3.1%，预期3%，初值3.2%。机构评美国第一季度GDP增速虽然增长，但有迹象表明出口和库存积累带来的刺激性因素是暂时的，工厂产量正在下滑。【美联储宣布缩表计划结束之后的债券购买计划】财联社5月31日讯，美国纽约联储表示，美联储将通过二级市场把机构债券和住房抵押贷款支持证券（MBS）的本金再投资国债，此行动将从2019年10月份开始。对美债的再投资将从属于每个月200亿美元的上限，任何超出的金额都将被再投资到机构MBS。计划10月11日发布购买操作的首批安排【美国短期国债ETF吸金额创纪录】财联社6月12日讯，投资于美国短期国债（指一年以内的美债）的交易所交易基金(ETF)上周吸引了41亿美元资金，创下历史最高单周纪录。6月18日讯，美国十年期国债收益率跌至2017年9月以来最低水平至2.0475%。财联社5月28日讯，美国10年期国债收益率跌3个基点至2.29%，创下自2017年来最低。【美国国债收益率曲线出现3月以来首次倒挂10年期和3个月期之间的收益率差变为负值】财联社5月9日讯，美国国债收益率曲线的一部分再次倒挂，可能预示着经济将衰退。10年期美国国债收益率自3月以来首次跌破3个月期国库券收益率。通常情况下，10年期美债收益率应该高于3个月期国库券收益率，以补偿投资者持有长债的通胀风险，而当收益率差变为负值时，可能预示着经济将衰退。这种收益率曲线倒挂现象发生在今年3月份，前后持续了约一周时间。分析：非常危险A股可能迎来下一波急加速下跌【M2增速平稳货币政策调控灵活度增加】财联社6月13日讯，央行昨日公布数据。5月末，广义货币(M2)余额189.12万亿元，同比增长8.5%；5月人民币贷款增加1.18万亿元，同比多增313亿元；社会融资规模增量为1.4万亿元，比上年同期多4466亿元。多位专家表示，未来定向精准滴灌仍是逆周期调节主要方式。与此同时，货币政策调控灵活度将进一步增加。（中证报）6月3日讯，中国5月财新制造业PMI录得50.2，预期50，前值50.2。财联社6月12日讯，中国5月新增人民币贷款1.18万亿元，预估为1.3万亿元，前值为1.02万亿元。财联社6月12日讯，中国5月货币供应量M2同比增长8.5%，预估为8.6%，前值为8.5%。财联社6月12日讯，中国5月社会融资规模增量为14000亿元，预估为14100亿元，前值为13592亿元。【统计局：中国5月规模以上工业增加值同比增长5%】中国5月规模以上工业增加值同比增长5%，预估为5.4%，前值为5.4%。中国5月社会消费品零售总额同比增长8.6%，预估为8.1%，前值为7.2%。中国1-5月城镇固定资产投资同比增长5.6%，预估为6.1%，前值为6.1%。中国1-5月份房地产开发投资同比增长11.2%。【5月份工业生产者出厂价格（PPI）同比上涨0.6%】财联社6月12日讯，国家统计局公布数据显示，5月份，全国工业生产者出厂价格同比上涨0.6%，环比上涨0.2%；工业生产者购进价格同比上涨0.2%，环比持平。1-5月平均，工业生产者出厂价格比去年同期上涨0.4%，工业生产者购进价格上涨0.2%。分析：不好不坏一般般5月PMI跌破荣枯线，需求端下滑，尤其是新出口订单大幅回落，受中美贸易摩擦升级导致的产业链转移、全球经济回落影响，4月中国对美、中国台湾出口增速大幅减少至-13.1%和4.8%，但中国台湾对美出口却高达21.5%。一季度，越南对美国出口增速40.2%，较四季度上升33.5个百分点。一季度美国从中国进口家具减少12.8%，而从越南和中国台湾的进口分别增加37.2%和19.3%。内需相对稳健，主要受地产和基建投资支撑，与建筑业商务活动指数保持高位一致。分析：经济面不是很好欧洲央行：维持三大关键利率不变。印度央行宣布降息25个基点】财联社6月6日讯，印度央行宣布降息25个基点至5.75%，为年内第三次降息；将货币政策立场调整为宽松；将印度2020财年GDP增长预测从7.2%下调至7%。财联社6月20日讯，英国至6月20日央行利率决定维持0.75%不变。利率决议公布后，国际黄金短线变动不大，日内涨幅为1.52%，现报1380.87美元/盎司。财联社6月4日讯，澳洲联储将现金利率下调25个基点至1.25%，刷新历史低位，符合市场预期，此为澳洲联储近三年来首次降息财联社6月14日讯，俄罗斯央行降息25个基点至7.50%，为去年3月以来首次降息，符合市场预期。资金面：【股票私募5月大幅减仓逾12个百分点】财联社6月4日讯，私募排排网今日公布的数据显示，截至5月末，股票策略型私募基金的平均仓位为62.00%，相比4月末的74.09%大幅下降逾12个百分点，为2018年12月以来的新低。具体来看，截至5月末，有76.19%的股票策略私募基金处于高仓位水平（即仓位在5成或者5成以上），高仓位的私募占比相比于4月末的88%大幅下降近12个百分点。此外，5月末仓位处于轻仓（仓位小于30%）和空仓的股票策略私募基金，占比分别为5.71%和2.86%。【5月份145亿元资金流入A股ETF南方中证500ETF“吸金”最多】财联社5月31日讯，Wind数据显示，截至5月31日，5月份A股ETF份额增加81.29亿份，以区间成交价计算，资金共净流入145.77亿元。其中，南方中证500ETF份额增加6.53亿份，总份额为83.84亿份，以区间成交价计算，资金净流入约34.75亿元，成为当月吸金最多的A股ETF。【央行：“定向降准”实施释放长期资金约1000亿元】财联社6月17日讯，央行今日早间公告称，从2019年5月15日开始，对服务县域的农村商业银行实行较低存款准备金率，分三次实施到位。今日为实施该政策的第二次存款准备金率调整，释放长期资金约1000亿元。新增场外资金：6月12日讯，中国结算公布数据显示，5月新增投资者115.26万，同比增长4.49%，环比下滑24.72%。，平均每周开户30万。2015年牛市最高159万/周【深交所：5月深市新增开户数168万环比下降22.9%】财联社6月13日讯，深交所发布“2019年5月深市概况”显示，5月深市新增开户数168万，环比下降22.9%。新增场内资金：【电报|德勤预测2019年约有70至90只新股会于科创板上市，德勤预测2019年大约有70至90只新股会于科创板上市。而其他三个国内板块，预计有110至150只新股发行，全年融资总额最少达到1200亿元人民币。主板将会净流出，最少达到1200亿元人民币昨日融资融券：两市合计8997.8亿元，较前一交易日减少8.26亿元。外国资金：【沪伦通预计下周开通华泰拔头筹】财联社6月14日讯，有权威人士向记者表示，华泰证券将拔得沪伦通头筹。下周一（6月17日）中英两国将在伦敦开启第十次中英经济财金对话，该人士预计沪伦通将在这次对话期间宣布正式启动。（21世纪经济报道）今日北上资金：8月1日还有一次财联社5月28日讯，分析人士指出，MSCI将A股纳入比例从5%提升到10%的生效日为5月28日收盘后，而追踪MSCI指数的被动资金往往在生效日前一次性完成调仓，才能最大限度地保证跟随相关指数。这一定程度上解释了28日尾盘北向资金的异动。中午：沪股通净流入30亿，深股通净流入36亿。收盘：沪股通全天净流入21.3亿元，深股通全天净流入37.9亿元。5月全月净流出达534.43亿元，净流出金额为历史上最高规模。每日外资观察：板块与异动个股：次新股+，证券（有利好），垃圾分类：维尔利等美国经济数据很不好和全球降息可能要开始，黄金、业绩线：例如：宁德时代，金溢科技（etc）5g个股等，未来有业绩预期的个股需要注意了题材中军：燃料电池，人造肉，需要持续关注业绩中军：5g，养鸡猪肉，饲料，玉米（农药）：草地贪夜蛾，贸易战证券，互金，银行（办理财）和保险（允许入市）未来业绩：农药，白糖，种子，水泥未来关注暗线：偏题材型，智慧+暗线：中军估值修复或者预期好二线蓝筹股，基建产业链，光伏，核电，特高压，化工，医药水泥的逻辑：补短板，新基建重组+兼并+借壳+中标：长期关注，比方说：我爱我家军工:国庆阅兵物联网：广和通移为通信暗线：智慧+；智慧城市，智慧办公，智慧交通，智慧停车泛金融概念：只要有牛市预期，成交量放大，融资融券放大就要关注，长期",,,,,0,0,0,2019-06-20 23:45,360安全浏览器,,,
4385405145360358,HzPMemuto,3633433137,夜半饥叫,失业一个月了。,,,,,0,0,0,2019-06-20 23:45,HUAWEI nova 2 Plus,,,
4385405044389916,HzPM4iq16,5186265158,青县司法,#青县司法#【剑桥大学#研究称每周工作8小时有利心理健康#，你同意吗？】剑桥大学和索尔福德大学的研究表明，每周工作8小时最有利于心理健康。当人们从失业或者全职父母的状态变成每周工作8小时，患心理健康问题的风险平均降低了30％。他们建议周末延长为五天，每工作一个月休息两个月。老板你同意吗？L老板联播的秒拍视频L老板联播的秒拍视频,,,,"青县司法,研究称每周工作8小时有利心理健康",1,1,3,2019-06-20 23:45,微博视频号,,"http://miaopai.video.weibocdn.com/JabcFz2Slx07uNmBjfaw01040200uDTq0E013?ori=0&ps=1BVp4ysnknHVZu&Expires=1693058408&ssig=vITe5emN%2FJ&KID=unistore,video",
4385046246764430,HzGrmsnJI,2756010732,思想宁聚,#我的居住新主张##我的居住新主张#首先，无论是“大城床”还是“小城房”，我觉得年轻人，都不应该被一所房子，限制了自己如何选择未来的路。人生要追求的目标千千万，没有谁的终极目标只是为了拥有一套房。当然留在北上广深996、挤地铁，还是去小城滋润的小生活。我有以下的经历和看法吧。我在北京工作，老家是山东烟台的，一个生活节奏没那么快的城市。前两年我也在老家买了房子。其实刚刚来北京那两年，我一直在想，我什么时候回家、什么契机回家。现在我在北京呆了五年了，却感觉回不了家。我记得韩寒曾经说过一句话：融不进的他乡，回不去的故乡。不论我在北京呆多久，我永远都会认为我是个外地人，虽然北京是个极其包容的城市。而回不去的故乡，则是我不知道回到老家我能干什么。因为我从事的行业，在老家没有。而如果我回去转行，巨大落差的收入，我真的承受不起。不说别的，可能我连房贷都还不起。我个人感觉现在50余城迎来“零门槛落户”，这件事情要一分为二理性的去看待。积极的因素就是，越来越多的城市意识到未来的竞争力来自于人才的竞争，而吸引人才才能赢得未来。可泼冷水的地方是：首先，很多城市，只是引进了人。而并未给引进的人才创造更多更好的就业机会。如果引进的人才是高端人才，综合素质高于原来本土的人才，非常有可能造成本地人才的失业。而如果引进的仅仅是人头，对于城市未来的发展意义不大。其次，要考虑另一个问题，就是小城市的收入问题，小城房价确实便宜，这个便宜是相对于北上广深这种大城市的房价来说的，不是对比该城市的人均收入来说的。不可否认，北上广深的薪水要比小城高出不少。说实话，我是一个普通北漂的上班族，我自己一个人供一套烟台的房子，压力并不大。但是如果我把工作换到烟台，压力有点大。我有很多朋友在二三线城市，其实他们的工资还那所城市的房贷也是刚刚好而已。甚至很多朋友到现在也买不起房，毕竟几十万的首付在小城要攒出来也不容易。现在的趋势貌似是：你在一线城市工作，买不起一线的房子，你在二三线工作，你也买不起二三线的房子。如果是去小城市，费尽力气供一套房子，你生活还会有惬意吗？也许过的并不比996、挤地铁好。决定要不要离开一线城市，绝对不仅仅是要考虑房子的问题。要考虑清楚，好好掂量掂量自己去了小城市，到底是由“大城床”变成了“小城房”还是“小城床”。毕竟现在的情况是，哪里的房子也不便宜。你去了小城，也不见得买得起小城的房。O50余城迎来“零门槛落户”，“大城床”，“小城房”你要重新选择么?,,,,我的居住新主张,0,0,1,2019-06-19 23:59,iPhone 6,,,
4385044900209329,HzGpc0Ssh,6014928517,无雨一整年,好爱136和失业这一对,,,,,0,0,0,2019-06-19 23:53,荣耀9 美得有声有色,,,
4385044304782544,HzGoek49O,2847424413,你是小神仙ya,#我想当个废物#接到领导通知要求出差，我内心从：马上休年假−工作交接−办理离职−打包回家，一系列后续都想好了，最后又通知不用出差了，开心到跟着广场舞大妈舞了一曲，暂时不用失业了,,,,我想当个废物,0,0,0,2019-06-19 23:51,朱一龙的小笼包,,,
